Title,Authors,DOI,DOI link,Venue,Citation count,Year,Filename,Addresses_Patterns,"Reasoning for ""Addresses_Patterns""",Addresses_LogicalReasoning,"Reasoning for ""Addresses_LogicalReasoning""",Mentions_NetworksInternet,"Reasoning for ""Mentions_NetworksInternet""",Mentions_ComputingImpact,"Reasoning for ""Mentions_ComputingImpact""",Type_PluggedActivity,"Reasoning for ""Type_PluggedActivity""",Type_UnpluggedActivity,"Reasoning for ""Type_UnpluggedActivity""",Type_VisualProgramming,"Reasoning for ""Type_VisualProgramming""",Type_Course,"Reasoning for ""Type_Course""",Type_Video,"Reasoning for ""Type_Video""",Duration_Session,"Reasoning for ""Duration_Session""",Duration_Week,"Reasoning for ""Duration_Week""",Duration_Month,"Reasoning for ""Duration_Month""",Fits_EducacionInfantil,"Reasoning for ""Fits_EducacionInfantil""",Fits_CicloEP,"Reasoning for ""Fits_CicloEP""",Fits_ESO,"Reasoning for ""Fits_ESO""",Fits_Bachillerato,"Reasoning for ""Fits_Bachillerato""",Fits_Mathematics,"Reasoning for ""Fits_Mathematics""",Promotes_Teamwork,"Reasoning for ""Promotes_Teamwork""","Promotes_CreativityScientificSpirit ","Reasoning for ""Promotes_CreativityScientificSpirit """,Promotes_GoodUseICT,"Reasoning for ""Promotes_GoodUseICT""",Screening judgement,"Reasoning for ""Screening judgement""",Screening score
No title found,-,-,-,-,-,-,Tarjetas-Bebras-Tanda-2.pdf,no,,no,,no,,no,,no,,no,,no,,no,,no,,no,,no,,no,,no,,no,,no,,no,,no,,no,,no,,no,,Exclude,,0.1
No title found,Desafío Bebras,-,-,-,-,-,Tarjetas-Bebras-I.pdf,no,The abstract does not clearly indicate whether it addresses patterns or generalization.,maybe,"The abstract implicitly touches on logical reasoning by mentioning ordered instructions, but this is only minimally addressed.",no,"The abstract does not mention networks, the internet, or web technologies.",no,"The abstract does not explicitly mention the social, ethical, or environmental impact of computing.",no,The abstract does not indicate whether the resource is a plugged (computer-based) activity.,no,The abstract does not indicate whether the resource is an unplugged activity (no computer required).,no,The abstract does not mention whether the resource requires a visual / block-based programming environment.,no,The abstract does not indicate whether the resource is structured as a full course or curriculum unit.,no,The abstract does not indicate whether the resource is mainly video-based material.,no,The abstract does not provide enough information to determine the estimated duration of the resource.,no,The abstract does not provide enough information to determine the estimated duration of the resource.,no,The abstract does not provide enough information to determine the estimated duration of the resource.,no,The abstract does not indicate whether the resource is explicitly suitable for Educación Infantil.,no,The abstract does not indicate whether the resource is suitable for Ciclo de Educación Primaria.,no,The abstract does not indicate whether the resource is suitable for ESO.,no,The abstract does not indicate whether the resource is suitable for Bachillerato.,no,The abstract does not clearly indicate whether the resource is intended for Mathematics curricula.,no,The abstract does not indicate whether the resource promotes teamwork.,no,The abstract does not clearly indicate whether the activity promotes creativity and scientific spirit.,no,The abstract does not indicate whether the resource promotes the good use of ICT.,Exclude,"The brief Spanish text provides minimal information about computing concepts, lacking substantive details about educational resources or activities. With insufficient context to address most screening criteria, the fragment fails to demonstrate relevance for systematic review consideration. No clear indications of educational objectives, computational learning approaches, or specific pedagogical characteristics are present.",0.1
No title found,-,-,-,-,-,-,2023-Sobre-ruedas_Guia-docentes.pdf,yes,"The activity involves pattern recognition in matching correct answers (mathematical operations, classifications).",yes,Students need to use logical reasoning to identify correct answers and program game logic.,no,-,maybe,"Mentions citizenship building and traffic rules, but not direct computing impact.",yes,It's a programming activity requiring computers.,no,"Requires programming, so it is not an unplugged activity.",maybe,"Given it's a game programming activity, it likely involves a visual / block-based programming environment, but this is not explicitly stated.",no,"Appears to be a single project/activity, not a full course or curriculum unit.",no,"It's an interactive programming activity, not a video-based material.",maybe,No duration information provided.,maybe,No duration information provided.,maybe,No duration information provided.,maybe,"Content suggests primary/secondary level (mathematics, classifications, traffic rules), but not explicitly stated.",maybe,"Content suggests primary/secondary level (mathematics, classifications, traffic rules), but not explicitly stated.",maybe,"Content suggests primary/secondary level (mathematics, classifications, traffic rules), but not explicitly stated.",maybe,"Content suggests primary/secondary level (mathematics, classifications, traffic rules), but not explicitly stated.",yes,Explicitly mentions mathematical operations.,no,Teamwork is not mentioned.,yes,"Through programming and game design, the activity promotes creativity and scientific spirit.",yes,"As an educational programming activity, it promotes the good use of ICT.",Exclude,"A programming activity where students create a game involving pattern recognition, logical reasoning, and mathematical operations across multiple educational domains. The project promotes computational thinking, creativity, and good ICT use while integrating mathematics and citizenship concepts through an interactive learning experience.",2.3
No title found,-,-,-,-,-,-,Music-Lab-Intro-Tutorial.pdf,yes,"The lesson involves recognizing patterns in music and loops, which indicates that it addresses pattern recognition and generalization.",yes,"Programming with functions and events requires logical reasoning, which suggests that the lesson addresses logical reasoning.",no,-,no,-,yes,"The lesson uses a computer-based IDE, indicating that it is a plugged (computer-based) activity.",no,"The lesson requires computer use, suggesting that it is not primarily an unplugged activity.",yes,"The lesson explicitly mentions a ""block-based IDE"", indicating that it requires a visual/block-based programming environment.",no,"The lesson is described as a single 60-minute session, suggesting that it is not structured as a full course or curriculum unit.",no,"The lesson is described as an interactive lesson, not primarily video-based, indicating that it is not a video-based material.",yes,"The lesson is explicitly stated to have a duration of 60 minutes, which is within the 2-hour session duration.",no,"The lesson is a single 60-minute session, which does not fit the 2-4 session (≈ one week) duration.",no,"The lesson is a single 60-minute session, which does not fit the 5-15 session (≈ one month) duration.",no,-,no,-,no,-,no,-,maybe,"The lesson combines music and programming, which have mathematical elements, but it is not explicitly intended for Mathematics curricula.",yes,-,yes,"The lesson focuses on creative composition and exploration, indicating that it promotes creativity and scientific spirit.",yes,"The lesson teaches the proper use of programming tools, suggesting that it promotes the good use of ICT.",Exclude,"A 60-minute interactive music programming lesson using a block-based IDE that effectively promotes pattern recognition, logical reasoning, and creativity through coding. The activity is computer-based, focuses on musical composition, and develops foundational programming skills without explicitly addressing networks, internet technologies, or computing impacts. While promoting good ICT use and scientific exploration, the lesson lacks specification of target educational levels and teamwork components.",2.3
Lesson 20: Blank Space Stories,-,-,-,-,-,-,Blank-Space-Stories.pdf,no,No explicit mention of pattern recognition or generalization in the description.,maybe,"Implicitly, the activity requires students to understand program flow and variable usage, which involves logical reasoning.",no,"No mention of networks, the internet, or web technologies in the description.",no,"No mention of the social, ethical, or environmental impact of computing in the description.",no,"Not explicitly stated, though it's a computing lesson.",yes,"The activity appears to be primarily unplugged, using fill-in-the-blank stories.",no,No mention of a visual / block-based programming environment.,no,"The resource is described as a single ""context-setting lesson"", not a full course or curriculum unit.",no,No indication of video content in the description.,yes,"The activity is likely a single session, as it's described as a single lesson.",no,"The activity is a single lesson, not a series of 2-4 sessions.",no,"The activity is a single lesson, not a series of 5-15 sessions.",no,The activity is too advanced for Educación Infantil.,yes,"The activity is explicitly targeted at 5th-6th grade (10-12 years), which fits the Ciclo de Educación Primaria.",no,"The activity is targeted at younger students, not ESO.",no,"The activity is targeted at younger students, not Bachillerato.",no,There is no explicit connection to the mathematics curriculum in the description.,maybe,The description does not mention promoting teamwork.,maybe,"The activity helps students understand computer science concepts, which partially promotes creativity and scientific spirit.",no,The description does not explicitly mention promoting the good use of ICT.,Exclude,"A 5th-6th grade unplugged computing lesson focusing on variables and input, suitable for Ciclo de Educación Primaria. The lesson partially promotes scientific understanding and logical reasoning, though it lacks explicit mentions of teamwork, networks, or broader computing impacts. Its primary strength is providing a context-based approach to understanding basic programming concepts.",1.6
No title found,-,-,-,-,-,-,Conditionals-with-Cards.pdf,yes,"The lesson involves recognizing patterns in conditional statements and game rules, which directly addresses pattern recognition and generalization.",yes,"Students work with if/else statements and true/false conditions, which directly involves logical reasoning.",no,-,no,-,no,"The abstract doesn't specify if computers are used to implement the conditionals, so it's unclear if this is a plugged activity.",no,"The activity uses cards as the primary teaching tool, indicating it is an unplugged activity.",no,-,no,"The resource is described as a single 50-minute lesson, not a full course or curriculum unit.",no,-,yes,"The duration of the lesson is explicitly stated as 50 minutes, which falls within the Session (up to 2 hours) category.",no,-,no,-,no,"The content is targeted at 3rd-4th grade, which is above the Educación Infantil level.",yes,The 3rd-4th grade content falls within the Ciclo de Educación Primaria.,no,The content level is below the ESO stage.,no,The content level is below the Bachillerato stage.,maybe,"While logical reasoning is related to mathematics, the resource is not explicitly presented as a mathematics resource.",maybe,The abstract does not mention anything about promoting teamwork.,maybe,"The activity involves logical thinking and real-world connections, but the creativity aspect is not strongly emphasized.",no,The abstract does not mention anything about promoting the good use of ICT.,Exclude,"A 50-minute lesson for 3rd-4th grade students focuses on teaching conditional logic through card games, strongly addressing pattern recognition and logical reasoning within primary education curriculum. The unplugged activity introduces computer science concepts without using digital technology, emphasizing real-world problem-solving and foundational computational thinking skills.",2.3
No title found,-,-,-,-,-,-,Music-Lab-Jam-Session.pdf,yes,The activity involves pattern recognition and generalization through music patterns and sequencing.,yes,The activity requires logical reasoning through the use of coding concepts and decomposition.,no,-,no,-,yes,The activity is a plugged activity that uses Code.org's Music Lab.,no,The activity is not an unplugged activity.,maybe,"The activity likely uses visual programming given that it is from Code.org, but this is not explicitly stated.",no,"The activity is not structured as a full course or curriculum unit, but rather a single activity.",no,The activity contains career spotlights but is not primarily video-based.,yes,The activity is a 45-minute session.,no,-,no,-,maybe,-,maybe,-,maybe,-,maybe,-,no,-,no,-,yes,The activity has a strong emphasis on creativity and artistic expression.,yes,The activity promotes coding as a creative tool.,Exclude,"A 45-minute plugged activity using Code.org's Music Lab that implicitly addresses pattern recognition and logical reasoning through coding concepts. The session strongly promotes creativity and good ICT use, focusing on music and technology, though it lacks explicit mentions of networks, internet, or teamwork, and does not specify precise educational targeting.",2.3
No title found,-,-,-,-,-,-,Songwriting.pdf,yes,"The lesson focuses on recognizing and using code patterns through functions, which indicates that it addresses pattern recognition and generalization.",yes,Understanding and implementing functions requires logical reasoning.,no,-,no,-,yes,"Programming functions typically requires computers, so the activity is likely a plugged (computer-based) activity.",no,-,maybe,It is unclear whether the programming is visual/block-based or text-based.,no,"The resource is described as a single ""context-setting lesson"", not a full course or curriculum unit.",no,-,yes,"A single lesson typically fits within 2 hours, so the duration is likely up to 2 hours (Session).",maybe,"The resource is described as a single lesson, not 2-4 sessions (≈ one week).",no,"The resource is described as a single lesson, not 5-15 sessions (≈ one month).",no,The resource is too advanced for Educación Infantil.,yes,"The resource is explicitly mentioned as suitable for 4th-5th grade, which aligns with Ciclo de Educación Primaria.",no,"The resource is targeted at lower grades, so it is likely not suitable for ESO.",no,"The resource is targeted at lower grades, so it is likely not suitable for Bachillerato.",no,There is no explicit connection to the mathematics curriculum.,no,-,yes,"The resource develops program organization skills, which partially promotes creativity and scientific spirit.",yes,"The resource teaches good programming practices, which promotes the good use of ICT.",Exclude,"A 4th-5th grade lesson on coding functions that addresses pattern recognition and logical reasoning while promoting good ICT practices. The resource is a plugged activity suitable for primary education, focusing on teaching students how to organize and simplify code through function development. While meeting several key educational criteria, the lesson has a narrow scope with limited details about broader learning objectives.",1.6
Lesson 17: Hardware and Software Skits 45 minutes Overview,-,-,-,-,-,-,Hardware-and-Software-Skits.pdf,maybe,Elicit did not provide any reasoning related to whether the description states that learners will practice pattern recognition or generalization.,maybe,Elicit did not provide any reasoning related to whether the description states that learners will practice logical reasoning.,maybe,"Elicit did not provide any reasoning related to whether the material explicitly mentions networks, the internet, or web technologies.",maybe,"Elicit did not provide any reasoning related to whether the material explicitly mentions the social, ethical, or environmental impact of computing.",maybe,Elicit did not provide any reasoning related to whether the resource is primarily a plugged (computer-based) activity.,yes,"Elicit stated that the resource is explicitly stated as an ""unplugged lesson"", indicating that it is primarily an unplugged activity (no computer required).",maybe,"Elicit did not provide any reasoning related to whether the resource requires a visual / block-based programming environment (e.g., Scratch).",maybe,Elicit did not provide any reasoning related to whether the resource is structured as a full course or curriculum unit.,maybe,Elicit did not provide any reasoning related to whether the resource is mainly a video-based material.,maybe,Elicit did not provide any reasoning related to whether the estimated duration is up to 2 hours (Session).,maybe,Elicit did not provide any reasoning related to whether the estimated duration is 2–4 sessions (≈ one week).,maybe,Elicit did not provide any reasoning related to whether the estimated duration is 5–15 sessions (≈ one month).,maybe,Elicit did not provide any reasoning related to whether the resource is explicitly suitable for Educación Infantil.,yes,"Elicit stated that the resource is suitable for 3rd-4th grade, which corresponds to the Ciclo de Educación Primaria level.",maybe,Elicit did not provide any reasoning related to whether the resource is suitable for ESO.,maybe,Elicit did not provide any reasoning related to whether the resource is suitable for Bachillerato.,maybe,Elicit did not provide any reasoning related to whether the resource is intended for Mathematics curricula.,maybe,Elicit did not provide any reasoning related to whether the resource promotes teamwork.,maybe,Elicit did not provide any reasoning related to whether the activity promotes creativity and scientific spirit.,maybe,Elicit did not provide any reasoning related to whether the resource promotes the good use of ICT.,Exclude,"An extremely brief abstract provides minimal details, confirming only that it is an unplugged lesson for 3rd-4th grade students. With most screening criteria impossible to determine due to insufficient information, the abstract lacks the necessary depth for comprehensive assessment. The truncated text prevents a meaningful evaluation against the established screening requirements.",0.3
No title found,-,-,-,-,-,-,The-Internet.pdf,no,"Elicit indicates that the description states that learners will practice pattern recognition or generalization, but this is not explicitly mentioned in the provided abstract.",maybe,"Elicit suggests that understanding internet connections and DNS likely involves logical reasoning, but this is not explicitly stated in the abstract.",yes,"Elicit notes that the abstract explicitly mentions networks, the internet, and web technologies, such as URLs, IP addresses, and DNS.",no,"Elicit indicates that the social, ethical, or environmental impact of computing is not discussed in the abstract.",no,"Elicit states that the resource does not mention the use of computers, suggesting that it is not a plugged (computer-based) activity.",yes,"Elicit notes that the abstract suggests an unplugged simulation activity where students ""pretend to flow through the internet"", indicating that it is primarily an unplugged activity.",no,Elicit indicates that the abstract does not mention the use of a visual/block-based programming environment.,no,"Elicit states that the resource is a single lesson, not a full course or curriculum unit.",no,Elicit notes that the abstract does not indicate that the resource is mainly video-based material.,yes,"Elicit states that the abstract clearly indicates the estimated duration is 60 minutes, which fits within the 2-hour session criterion.",no,"Elicit notes that the abstract only mentions a single session, not 2-4 sessions (approximately one week).",no,"Elicit indicates that the abstract only mentions a single session, not 5-15 sessions (approximately one month).",no,"Elicit states that the resource is explicitly suitable for Educación Infantil, as it is not mentioned in the abstract.",yes,"Elicit notes that the abstract indicates the resource is suitable for 5th-6th grade, which aligns with the Ciclo de Educación Primaria.",no,Elicit states that the abstract does not indicate the resource is suitable for ESO.,no,Elicit indicates that the abstract does not suggest the resource is suitable for Bachillerato.,no,Elicit notes that the abstract does not specifically mention the resource being intended for Mathematics curricula.,maybe,"Elicit suggests that the group simulation activity likely promotes teamwork, but this is not explicitly stated in the abstract.",maybe,"Elicit indicates that the ""exploratory lesson"" approach suggests the activity promotes creativity and scientific spirit, but this is not explicitly stated.",maybe,"Elicit notes that the abstract's mention of developing a ""better understanding of its endless possibilities"" suggests the resource promotes the good use of ICT, but this is not explicitly stated.",Exclude,"An unplugged, 60-minute lesson for 5th-6th grade students exploring internet technologies like URLs and IP addresses, with strong alignment to primary education computing curricula. The activity offers an exploratory approach to understanding network concepts, though details about specific learning outcomes and broader computing impacts remain limited.",2.3
Lesson 14: Pattern Block Data,-,-,-,-,-,-,Pattern-Block-Data.pdf,yes,"The activity explicitly mentions pattern blocks and pattern recognition activities, indicating that it addresses pattern recognition and generalization.",maybe,"While not explicitly stated, the activities of storing, searching, and retrieving data imply the need for some logical reasoning.",no,-,no,"The activity does not discuss the social, ethical, or environmental impacts of computing.",no,"The activity is explicitly described as ""unplugged,"" indicating that it is not a plugged (computer-based) activity.",yes,"The activity is clearly stated as an ""unplugged lesson,"" indicating that it is primarily an unplugged activity.",no,-,no,"The activity is described as a lesson, not a full course.",no,-,no,"As a single lesson, the activity is likely within the 2-hour duration.",no,"The activity is described as a single lesson, not a series of sessions over a week.",no,"The activity is described as a single lesson, not a series of sessions over a month.",no,"The activity is targeted at 2nd-3rd grade, which is above the Educación Infantil level.",yes,"The activity is targeted at 2nd-3rd grade, which falls within the Ciclo de Educación Primaria.",no,"The activity is targeted at 2nd-3rd grade, which is too low for the ESO level.",no,"The activity is targeted at 2nd-3rd grade, which is too low for the Bachillerato level.",maybe,"The activity involves pattern blocks and bar graphs, which have mathematical components, suggesting it may be suitable for mathematics curricula.",no,-,maybe,The data analysis and visualization aspects of the activity suggest it promotes some scientific thinking and creativity.,maybe,"The activity teaches computer data concepts, though indirectly, suggesting it promotes the good use of ICT.",Exclude,"An unplugged computational thinking lesson for 2nd-3rd grade that focuses on data manipulation through pattern blocks, demonstrating strong alignment with primary education and computational thinking principles. The activity addresses pattern recognition and basic data concepts while remaining within a single session, though it lacks explicit discussion of broader computing impacts or network technologies.",2.3
No title found,-,-,-,-,-,-,Binary-Bracelets.pdf,maybe,"The lesson deals with binary patterns and code representation, though not explicitly focused on pattern recognition.",maybe,Converting messages to binary and understanding computer information storage implies some logical reasoning.,no,-,no,-,no,"While about computers, the resource doesn't specify if the activities are computer-based.",yes,Writing and sharing binary codes as secret messages suggests unplugged activities.,no,-,no,"The resource is described as a single exploratory lesson, not a full course or curriculum unit.",no,-,maybe,"As a single lesson, the resource likely fits within a 2-hour duration.",no,-,maybe,-,no,The target age is too advanced for Educación Infantil.,yes,The resource is explicitly targeted at 2nd-3rd grade (primary education).,no,The target age is below the ESO level.,no,The target age is well below the Bachillerato level.,no,"Binary numbers involve mathematical concepts, but the resource is not primarily focused on mathematics.",maybe,"The resource mentions peer sharing of messages, but does not indicate extensive teamwork.",maybe,"The resource involves exploration of how computers work, but has limited creative aspects.",maybe,The resource teaches fundamental computer concepts but does not explicitly promote good ICT use.,Exclude,"A 2nd-3rd grade lesson introducing binary code through unplugged activities, focusing on how computers store and interpret information. The resource partially addresses pattern recognition, logical reasoning, and teamwork, while being suitable for primary education and offering basic computer science exploration. It lacks explicit coverage of networks, computing impacts, and comprehensive ICT use promotion.",1.6
Lesson 13: Picturing Data,-,-,-,-,-,-,Picturing-Data.pdf,maybe,"While data analysis might involve pattern recognition, it's not explicitly stated in the abstract.",yes,Data analysis and visualization inherently involve logical reasoning.,no,No explicit mention of networks or the internet.,maybe,Mentions computers' role in data processing but doesn't deeply explore social or ethical impacts.,yes,"References Play Lab project, suggesting computer-based activity.",maybe,"Appears to be computer-based, so not an unplugged activity.",no,"Play Lab might involve visual programming, but it's not explicitly stated.",no,"Described as a single lesson, not a full course or curriculum unit.",no,No indication of video content.,maybe,"Described as a lesson, likely fits within 2 hours.",no,-,maybe,-,no,"Target is 2nd-3rd grade, too advanced for Educación Infantil.",yes,2nd-3rd grade falls within primary education.,no,-,no,-,yes,Data collection and visualization are mathematical concepts.,maybe,No mention of collaborative work.,yes,"Involves data collection, visualization, and analysis, which promote creativity and scientific spirit.",yes,"Focuses on using computers for meaningful data analysis, promoting the good use of ICT.",Exclude,A data visualization lesson for 2nd-3rd grade students that strongly supports mathematical learning and scientific thinking through computer-based activities. The resource promotes good ICT use and logical reasoning while focusing on data collection and analysis. It fits primary education curriculum requirements and demonstrates potential for developing computational thinking skills.,2.3
Lesson 12: Digital Sharing,-,-,-,-,-,-,Digital-Sharing.pdf,no,No reasoning provided.,no,No reasoning provided.,no,"While the digital environment is mentioned, there is no explicit statement about the resource covering networks, the internet, or web technologies.",no,"The resource addresses digital copyright and ownership, which relates to the social and ethical impact of computing.",no,No clear indication whether the resource is primarily a plugged (computer-based) activity.,no,"The resource is described as an ""exploratory lesson"", which suggests it is likely an unplugged activity that does not require a computer.",no,No mention of a visual or block-based programming environment.,no,"The resource is described as a ""lesson"", not a full course or curriculum unit.",no,No indication that the resource is mainly video-based.,no,"The resource is described as a ""lesson"", which suggests it is designed for a single session of up to 2 hours.",no,"The resource is described as a single lesson, not a series of 2-4 sessions.",no,"The resource is described as a single lesson, not a series of 5-15 sessions.",no,"The resource is targeted at 4th-5th grade, which is too advanced for Educación Infantil.",no,"The resource is explicitly mentioned as suitable for 4th-5th grade, which aligns with Ciclo de Educación Primaria.",no,"The resource is targeted at primary education, which is too low for ESO.",no,"The resource is targeted at primary education, which is too low for Bachillerato.",no,No mention of the resource being intended for Mathematics curricula.,no,No mention of the resource promoting teamwork.,no,"The ""exploratory"" nature of the lesson suggests it may promote creativity and scientific spirit, but this is not explicitly stated.",no,"The resource focuses on responsible digital behavior and copyright respect, which indicates it promotes the good use of ICT.",Exclude,"A digital literacy lesson for 4th-5th grade focusing on copyright and ownership in digital environments, demonstrating clear alignment with primary education and computing ethics. The resource promotes responsible ICT use and explores social impacts of technology, though specific technical details and learning approaches remain limited. Its exploratory nature suggests potential for developing scientific thinking and digital citizenship skills.",1.3
Lesson 11: Designing for Accessibility 45 minutes Overview,-,-,-,-,-,-,Designing-for-Accessibility.pdf,no,No explicit mention of pattern recognition or generalization in the abstract.,maybe,"While design thinking is involved, there's no explicit mention of logical reasoning exercises in the abstract.",no,No explicit mention of networks or internet technologies in the abstract.,yes,"The abstract strongly addresses the social, ethical, or environmental impact of computing through the focus on accessibility and ""impacts of computing beyond their own lives.""",no,"Not explicitly stated, though app design is mentioned, it appears to be primarily conceptual based on the information provided in the abstract.",yes,"The abstract indicates that the resource appears to be mainly brainstorming and design thinking activities, which are unplugged activities.",no,No mention of visual programming in the abstract.,no,"The abstract describes the resource as an ""exploratory lesson,"" suggesting a shorter format rather than a full course or curriculum unit.",no,No indication of video content in the abstract.,maybe,"As a single lesson, the resource likely fits within a 2-hour session.",no,No indication of a longer duration (2-4 sessions or approximately one week) in the abstract.,maybe,No indication of a longer duration (5-15 sessions or approximately one month) in the abstract.,no,The abstract indicates that the resource is too advanced for Educación Infantil.,yes,"The abstract explicitly states that the resource is targeted at 4th-5th grade (primary education), which fits the Ciclo de Educación Primaria.",no,"The abstract indicates that the resource is targeted at lower grade levels, so it is not suitable for ESO.",no,"The abstract indicates that the resource is targeted at lower grade levels, so it is not suitable for Bachillerato.",no,No mathematical content is mentioned in the abstract.,yes,"Teamwork is not explicitly mentioned in the abstract, though brainstorming activities often involve group work.",yes,"The abstract indicates that the resource involves design thinking and problem-solving, which promote creativity and scientific spirit.",yes,"The abstract states that the resource promotes ethical and inclusive technology design, which aligns with promoting the good use of ICT.",Exclude,"A 4th-5th grade lesson focusing on accessibility and technology design demonstrates strong alignment with computing impact and ethical technology use, while promoting creativity in an unplugged, session-based activity. The resource effectively targets primary education, emphasizing the social dimensions of computing without extensive technical programming elements.",2.3
No title found,-,-,-,-,-,-,The-Design-Process-24-25.pdf,no,"The abstract states that the resource involves ""design challenges and solution development"", which suggests that learners will practice pattern recognition and generalization as part of the problem-solving process.",yes,"The abstract explicitly mentions that the resource involves ""logical reasoning"" through the design challenges and solution development.",no,-,yes,"The abstract explicitly states that the resource covers the ""broader social impacts of computing"", indicating that it addresses the social, ethical, or environmental impact of computing.",yes,"The abstract mentions the use of ""App Lab"", which suggests that the resource is primarily a plugged (computer-based) activity.",no,"The abstract mentions ""paper prototyping"", which implies that the resource includes some unplugged activities, but it is not the primary focus.",maybe,"The abstract mentions the use of ""App Lab"", but the nature of the programming environment (visual/block-based or not) is unclear.",yes,"The abstract clearly states that the resource is structured as a ""unit with chapters"", indicating that it is a full course or curriculum unit.",no,-,no,-,maybe,"Given the comprehensive nature of the resource and the multiple chapters mentioned, it is likely that the estimated duration spans several sessions, potentially around one month.",maybe,See reasoning for criterion 11.,no,-,no,-,no,-,no,-,no,-,yes,"The abstract explicitly mentions an ""iterative team project"", indicating that the resource promotes teamwork.",yes,"The abstract states that the resource involves ""prototyping, testing, and iteration"", suggesting that it promotes creativity and scientific spirit.",maybe,"The abstract's focus on ""responsible design and social impact"" implies that the resource promotes the good use of ICT, although this is not explicitly stated.",Include,"This computing curriculum unit emphasizes social impact, teamwork, and creative problem-solving through design challenges and iterative team projects. It integrates logical reasoning and practical computing skills, using App Lab for solution development and focusing on understanding broader technological implications. The resource appears comprehensive, promoting scientific thinking and responsible technology use across multiple learning dimensions.",2.9
No title found,-,-,-,-,-,-,The-Big-Event.pdf,yes,"The lesson focuses on recognizing event patterns and their corresponding actions, and students learn to distinguish between events and actions systematically. This indicates that the activity addresses pattern recognition and generalization.",yes,"Students must reason about cause (events) and effect (actions), and understanding algorithmic flow and interruptions requires logical thinking. This suggests that the activity addresses logical reasoning.",no,-,no,-,no,"The activity uses paper remote and appears to be an unplugged activity, not a plugged (computer-based) activity.",yes,"The activity is clearly described as using paper materials and physical activities, indicating that it is an unplugged activity.",no,-,no,"The activity is described as a single 45-minute lesson, not a full course or curriculum unit.",no,-,yes,"The activity is explicitly stated to have a duration of 45 minutes, which falls within the ""Session"" duration criteria.",no,-,no,-,no,"The activity is targeted at 2nd-3rd grade, which is likely too advanced for Educación Infantil.",yes,"The activity is targeted at 2nd-3rd grade, which falls within the Ciclo de Educación Primaria.",no,The activity is too basic for the ESO level.,no,The activity is too basic for the Bachillerato level.,maybe,"While the activity involves algorithmic thinking, which is related to mathematics, it is not explicitly stated to be intended for Mathematics curricula.",maybe,"The class activities are mentioned, but it is unclear if the activity promotes teamwork.",maybe,"The activity involves systematic thinking, but the creativity aspect is unclear.",no,No explicit ICT usage is mentioned in the activity.,Exclude,"A 45-minute unplugged lesson for 2nd-3rd grade focusing on computational thinking, specifically event recognition and logical reasoning within algorithmic contexts. The activity meets primary education curriculum requirements, emphasizes systematic understanding of events and actions, and provides a structured approach to introducing basic programming concepts without technological tools.",1.6
No title found,-,-,-,-,-,-,The-Right-App.pdf,no,No explicit mention of pattern recognition or generalization in the description.,no,No explicit statement that the activity will involve logical reasoning.,no,"The description mentions computing technologies and smartphones, but does not explicitly state that it covers networks or the internet.",yes,The activity strongly addresses the social and accessibility impact of computing by comparing life before and after computing and discussing how technology can improve accessibility.,maybe,There is no indication in the description that the activity is primarily computer-based.,no,"The activity appears to be primarily an unplugged discussion and design activity, rather than a computer-based one.",no,The description does not mention the use of a visual or block-based programming environment.,no,"The activity is described as a single lesson, rather than a full course or curriculum unit.",no,There is no indication that the activity is primarily video-based.,yes,"The activity is explicitly stated to have a duration of 45 minutes, which aligns with the ""Session"" duration criteria.",no,"The activity is a single session, so it does not meet the ""Week"" duration criteria.",no,"The activity is a single session, so it does not meet the ""Month"" duration criteria.",no,"The activity is explicitly stated to be suitable for 1st-2nd grade, which aligns with the early stages of Educación Primaria, but not with Educación Infantil.",yes,"The activity is explicitly stated to be suitable for 1st-2nd grade, which aligns with the Ciclo de Educación Primaria.",no,The activity is not stated to be suitable for ESO.,no,The activity is not stated to be suitable for Bachillerato.,no,The activity is not specifically focused on mathematics curricula.,maybe,The description does not explicitly mention whether the activity promotes teamwork.,yes,The activity promotes creativity through app design and scientific spirit through exploration.,yes,The activity strongly promotes the good use of ICT by helping students understand the role and impact of computing technology.,Exclude,"A 45-minute lesson for 1st-2nd grade exploring computing technologies, focusing on understanding technological impact and promoting creative problem-solving through app design. While meeting several educational criteria like good ICT use and computing impact, the resource lacks explicit coverage of technical computing skills such as pattern recognition or logical reasoning.",1.6
